CODIGO;DESCRICAO
5199;OUTROS TRABALHADORES DOS SERVIÇOS
5201;SUPERVISORES DE VENDAS E DE PRESTAÇÃO DE SERVIÇOS
5211;OPERADORES DO COMÉRCIO EM LOJAS E MERCADOS
5231;INSTALADORES DE PRODUTOS E ACESSÓRIOS
5241;VENDEDORES EM DOMICÍLIO
5242;VENDEDORES EM BANCAS, QUIOSQUES E BARRACAS
5243;VENDEDORES AMBULANTES
6110;PRODUTORES AGROPECUÁRIOS EM GERAL
6120;PRODUTORES AGRÍCOLAS POLIVALENTES
6121;PRODUTORES AGRÍCOLAS NA CULTURA DE GRAMÍNEAS
6122;PRODUTORES AGRÍCOLAS NA CULTURA DE PLANTAS FIBROSAS
6123;PRODUTORES AGRÍCOLAS NA OLERICULTURA
6124;PRODUTORES AGRÍCOLAS NO CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
6125;PRODUTORES AGRÍCOLAS NA FRUTICULTURA
6126;PRODUTORES AGRÍCOLAS NA CULTURA DE PLANTAS ESTIMULANTES
6127;PRODUTORES AGRÍCOLAS NA CULTURA DE PLANTAS OLEAGINOSAS
6128;PRODUTORES DE ESPECIARIAS E DE PLANTAS AROMÁTICAS E MEDICINAIS
6130;PRODUTORES EM PECUÁRIA POLIVALENTE
6131;PRODUTORES EM PECUÁRIA DE ANIMAIS DE GRANDE PORTE
6132;PRODUTORES EM PECUÁRIA DE ANIMAIS DE MÉDIO PORTE
6133;PRODUTORES DA AVICULTURA E CUNICULTURA
6134;PRODUTORES DE ANIMAIS E INSETOS ÚTEIS
6201;SUPERVISORES NA EXPLORAÇÃO AGROPECUÁRIA
6210;TRABALHADORES AGROPECUÁRIOS EM GERAL
6220;TRABALHADORES DE APOIO À AGRICULTURA
6221;TRABALHADORES AGRÍCOLAS NA CULTURA DE GRAMÍNEAS
6222;TRABALHADORES AGRÍCOLAS NA CULTURA DE PLANTAS FIBROSAS
6223;TRABALHADORES AGRÍCOLAS NA OLERICULTURA
6224;TRABALHADORES AGRÍCOLAS NO CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
6225;TRABALHADORES AGRÍCOLAS NA FRUTICULTURA
6226;TRABALHADORES AGRÍCOLAS NAS CULTURAS DE PLANTAS ESTIMULANTES
6227;TRABALHADORES AGRÍCOLAS NA CULTURA DE PLANTAS OLEAGINOSAS
6228;TRABALHADORES AGRÍCOLAS DA CULTURA DE ESPECIARIAS E DE PLANTAS AROMÁTICAS E MEDICINAIS
6230;TRATADORES POLIVALENTES DE ANIMAIS
6231;TRABALHADORES NA PECUÁRIA DE ANIMAIS DE GRANDE PORTE
6232;TRABALHADORES NA PECUÁRIA DE ANIMAIS DE MÉDIO PORTE
6233;TRABALHADORES NA AVICULTURA E CUNICULTURA
6234;TRABALHADORES NA CRIAÇÃO DE INSETOS E ANIMAIS ÚTEIS
6301;SUPERVISORES NA ÁREA FLORESTAL E AQÜICULTURA
6310;PESCADORES POLIVALENTES
6311;PESCADORES PROFISSIONAIS ARTESANAIS DE ÁGUA DOCE
6312;PESCADORES DE ÁGUA COSTEIRA E ALTO MAR
6313;CRIADORES DE ANIMAIS AQUÁTICOS
6314;TRABALHADORES DE APOIO À PESCA
6320;TRABALHADORES FLORESTAIS POLIVALENTES
6321;EXTRATIVISTAS E REFLORESTADORES DE ESPÉCIES PRODUTORAS DE MADEIRA
6322;EXTRATIVISTAS FLORESTAIS DE ESPÉCIES PRODUTORAS DE GOMAS E RESINAS
